Crisis;Start Date;End Date;Type
Weltfinanzkrise;09.08.2007;10.12.2008;Finanz- & Wirtschaftskrise
Covid-19;01.02.2020;01.03.2021;Bevölkerung und Demographie
Schwarzer Mittwoch;08.10.1992;08.11.1992;Finanz- & Wirtschaftskrise
Tequila-Krise;01.12.1994;01.02.1995;Finanz- & Wirtschaftskrise
Asienkrise;01.03.1997;01.08.1999;Finanz- & Wirtschaftskrise
Russlandkrise;17.08.1998;15.11.1998;Finanz- & Wirtschaftskrise
Argentinienkrise;01.01.1999;01.01.2002;Finanz- & Wirtschaftskrise
Dotcom-Blase;01.01.1999;01.01.2003;Finanz- & Wirtschaftskrise
Eurokrise;01.01.2010;01.01.2014;Finanz- & Wirtschaftskrise
Vulkanausbruch in Philippinen;15.06.1991;15.06.1991;Naturkatastrophen
Hitzewelle Europa;01.07.2003;01.09.2003;Naturkatastrophen
Tsunami Indonesien;26.12.2004;26.12.2004;Naturkatastrophen
Hurrikan Katrina (USA);23.08.2005;30.08.2005;Naturkatastrophen
Erdbeben Haiti;12.01.2010;12.01.2010;Naturkatastrophen
Erdbeben Fukushima;11.03.2011;11.03.2011;Naturkatastrophen
Hurrikan Sandy (Kuba);22.10.2012;29.10.2012;Naturkatastrophen
Erdbeben Nepal;25.04.2015;25.04.2015;Naturkatastrophen
Waldbrand Australien;01.06.2019;01.03.2020;Naturkatastrophen
Präsidentschaftswahl Bill Clinton;03.11.1992;03.11.1992;Politik
Präsidentschaftswahl Bill Clinton;05.11.1996;05.11.1996;Politik
Präsidentschaftswahl George W. Bush;07.11.2000;07.11.2000;Politik
Präsidentschaftswahl George W. Bush;02.11.2004;02.11.2004;Politik
Präsidentschaftswahl Barack Obama;04.11.2008;04.11.2008;Politik
Präsidentschaftswahl Barack Obama;06.11.2012;06.11.2012;Politik
Präsidentschaftswahl Donald Trump;08.11.2016;08.11.2016;Politik
Präsidentschaftswahl Joe Biden;07.11.2020;07.11.2020;Politik
Atomdrohung NKOR gegen USA;03.01.2017;03.01.2017;Internationale Relationen und zivile Gewalt
Atomdrohung ISR gegen IRAN;22.01.2006;22.01.2006;Internationale Relationen und zivile Gewalt
Handelsstreit USA gegen CHINA;22.03.2018;15.01.2020;Internationale Relationen und zivile Gewalt
Handelssteit EU gegen USA;10.11.2020;01.03.2021;Internationale Relationen und zivile Gewalt
Handelsstreit CHINA gegen USA;01.06.2019;01.03.2021;Internationale Relationen und zivile Gewalt
Terroranschlag WTC (USA);11.09.2001;11.09.2001;Internationale Relationen und zivile Gewalt
Terroranschlag Paris;13.11.2015;13.11.2015;Internationale Relationen und zivile Gewalt
Terroranschlag Moskau;09.03.2010;09.03.2010;Internationale Relationen und zivile Gewalt
Terroranschlag Boston;15.04.2013;15.04.2013;Internationale Relationen und zivile Gewalt
Flüchtlingskrise Europa;01.01.2014;01.12.2016;Bevölkerung und Demographie
USA-Mexiko;15.02.2019;01.03.2021;Bevölkerung und Demographie
SARS-Pandemie;01.11.2002;01.07.2003;Bevölkerung und Demographie
Schweinegrippe;01.11.2009;01.05.2010;Bevölkerung und Demographie
