Date;KOMMUNIKATIONSDIENSTE (.SPLRCL);DISKRETIONÄRE KONSUMGÜTER(.SPLRCD);GRUNDBEDARFSGÜTER(.SPLRCS);ENERGIE(.SPNY);FINANZSEKTOR(.SPSY);GESUNDHEITSWESEN(.SPXHC);INDUSTRIE(.SPLRCI);TECHNOLOGIE(.SPLRCT);MATERIALIEN(.SPLRCM);IMMOBILIEN(.SPLRCR);VERSORGUNGSUNTERNEHMEN(.SPLRCU)
26.03.2021;236.19;1325.34;703.6;381.18;572.1;1365.45;831.5;2274.52;500.55;249.87;322.73
25.03.2021;237;1314.78;691.35;371.44;562.53;1338.97;817.07;2302.31;488.37;243.85;321.48
24.03.2021;237.79;1307.1;684.7;370.51;553.81;1334.81;804.49;2317.03;481.58;241.95;318.32
23.03.2021;241.8;1327.23;687.78;361.4;551.41;1335.59;798.66;2273.14;478.26;243.24;318.3
22.03.2021;242.55;1336.81;685.05;366.39;559.29;1349.51;812.99;2278.82;488.52;242.4;313.52
19.03.2021;240.71;1328.16;677.2;370.11;566.65;1337.41;813.8;2345.57;488.32;239.73;313.87
18.03.2021;238.8;1317.66;675.52;370.06;573.52;1332.61;819.78;2348.18;490.66;242.8;313.18
17.03.2021;243.57;1352.82;678.73;388.23;570.31;1335.15;820.2;2329.81;493.31;244.6;314.29
16.03.2021;243.04;1334.07;679.09;384.62;566.63;1340.61;811.09;2304.26;488.89;244.99;319.49
15.03.2021;240.79;1345.76;678.64;395.81;573.09;1341.12;822.9;2320.84;493.2;245.04;319.17
12.03.2021;239.41;1330.13;675.66;400.82;576.35;1332.42;816.2;2272.6;492.42;242.19;314.9
11.03.2021;241.59;1328.75;670.87;400.11;570.15;1330.59;805.43;2281.79;491.51;238.6;310.93
10.03.2021;237.4;1308.34;672.08;399.8;571.75;1322.33;804.77;2206.54;488.82;235.07;311.75
09.03.2021;236.41;1303.32;663.54;389.54;561;1319.47;793.3;2262.26;480.94;232.77;309.66
08.03.2021;234.25;1255.55;663.55;397.13;565.84;1311.39;796.38;2218.58;477.82;230.32;305.77
05.03.2021;237.73;1257.91;661.44;396.54;558.63;1315.13;788.1;2269.8;471.73;229.11;301.59
04.03.2021;232.22;1248.92;647.5;381.76;548.17;1289.06;769.69;2327.66;460.88;226.5;296.87
03.03.2021;232.14;1274.68;650.97;372.55;554.87;1306.45;782.25;2366.28;470.58;228.26;297.37
02.03.2021;235.89;1305.77;654.56;367.31;550.72;1324.03;781.68;2293.4;475.55;230.96;300.91
01.03.2021;237.54;1322.61;655.71;369.47;552.37;1327.31;783.76;2279.75;472.82;232.62;301.74
26.02.2021;232.08;1294.47;649.39;360.19;535.64;1311.27;764.55;2363.21;461.11;232.26;295.35
25.02.2021;232.01;1287.06;660.18;368.66;546.42;1321.95;772.43;2328.11;467.4;236.56;300.95
24.02.2021;238.11;1335.27;667.68;376.2;556.51;1335.2;787.82;2333.91;478.86;240.38;303.92
23.02.2021;237.06;1325.41;667.86;362.97;545.54;1326.48;772.88;2387.76;474.52;239.06;307.45
22.02.2021;234.59;1331.88;668.04;357.22;542.84;1328.53;770.71;2391.35;472.99;238.31;305.02
19.02.2021;235.35;1361.14;667.53;345.23;537.59;1332.52;768.39;2402.23;471.21;237.03;311.06
18.02.2021;237.89;1373.25;675.81;339.66;531.43;1347.97;756.26;2427.32;462.67;236.47;315.83
17.02.2021;239.7;1371.36;676.69;347.55;534.08;1356.79;760.01;2434.51;465.57;236.53;314.11
16.02.2021;238.55;1362.48;674.05;342.57;532.19;1351.99;762.36;2422.53;466.19;236.33;313.75
12.02.2021;237.55;1368.53;675.23;334.99;522.92;1365.94;762.72;2396.35;467.06;238.88;317.37
11.02.2021;237.39;1366.17;674.17;330.36;518.02;1355.74;757.66;2399.97;462.35;239.02;319.89
10.02.2021;237.3;1370.33;677.09;335.48;519.17;1353.55;759.21;2404.56;461.69;239.29;322.21
09.02.2021;235.82;1383.37;678.05;329.41;519.49;1351.29;760.45;2379.86;462.6;237.87;320.96
08.02.2021;235.33;1391.36;678.96;334.5;518.95;1349.6;758.84;2385.11;465.83;236.75;320.63
05.02.2021;234.43;1385.96;675.92;321.1;512.69;1347.65;752.03;2348.81;462.08;236.22;323.15
04.02.2021;232.22;1373.38;669.95;318.16;512.25;1344.26;748.06;2355.9;454.33;235.41;321.42
03.02.2021;230.85;1360.28;665.02;314.75;500.85;1339.46;739.92;2326.07;456.79;234.25;319.12
02.02.2021;226.18;1370.76;663.93;301.85;498.3;1348.92;739.52;2269.12;455.9;235.13;320.08
01.02.2021;222.62;1343.85;659.37;298.59;486.35;1345.17;723.93;2324.9;450.01;234.17;317.53
29.01.2021;218.57;1307.64;659.25;296.52;480.98;1340.92;717.01;2314.41;444.85;228.98;316.02
28.01.2021;222.78;1335.37;672.95;306.92;490.9;1352.11;732.34;2359.81;453.71;231.34;317.77
27.01.2021;220.03;1330.2;669.8;303.22;481.67;1332.42;721.47;2359.62;445.62;230.6;313.98
26.01.2021;228.77;1373.12;682.05;307.5;496.25;1374.4;736.48;2339.12;459.38;233.85;322.67
25.01.2021;226.98;1372.35;675.78;314.17;500.26;1379.86;743.26;2346.56;465.88;231.22;325.91
22.01.2021;226.14;1368.13;669.71;317.54;504.11;1370.9;748.41;2316.03;468.43;229.33;319.68
21.01.2021;225.88;1372.53;671.69;319.12;507.78;1374.72;752.13;2270.25;470.43;228.63;319.15
20.01.2021;225.3;1364.99;674.44;330.47;513.19;1381.65;758.3;2240.95;477.61;229.41;321.12
19.01.2021;217.44;1334.81;672.76;329.3;515.6;1373.74;753.5;2262.98;475.92;224.97;319.15
15.01.2021;213.44;1327.14;675.75;322.58;513.38;1363.26;751.1;2284.59;474.04;226.2;320.35
14.01.2021;213.12;1337.23;678.51;336.14;522.77;1358.91;760.8;2269.84;481.07;222.94;317.29
13.01.2021;214.91;1347.14;682.41;326.33;520.14;1364.15;758.57;2279.54;482.91;221.56;318.48
12.01.2021;214.15;1344.38;681.31;328.98;520.91;1360.72;765.17;2301.17;488.08;218.53;312.42
11.01.2021;217.41;1327;683.41;317.86;515.43;1375.46;757.35;2283.97;481.6;218.4;314.05
08.01.2021;221.32;1352.53;689.47;312.78;513.24;1368.54;757.79;2225.02;481.58;222.08;317
07.01.2021;220.77;1328.67;686.07;313.06;514.23;1362.09;759.48;2265.93;484.04;219.69;314.27
06.01.2021;217.72;1305.21;688.3;308.45;506.78;1344.35;755.34;2250.17;480.27;219.02;318.51
05.01.2021;219.17;1298.65;688.76;299.49;485.6;1325.67;737.89;2291.28;461.42;220.22;310.86
04.01.2021;218.58;1287.85;688.69;286.5;483.8;1316.89;730.44;2284.47;451.04;220.4;310.76
31.12.2020;221.92;1302.56;696.32;286.14;490.43;1324.01;749.54;2284.97;455.71;227.9;319.07
30.12.2020;219.79;1302.76;690.8;288.48;484.02;1309.08;744.99;2296.98;453.88;225.04;314.09
29.12.2020;221.42;1298.86;691.64;283.93;482.11;1309.07;740.08;2270.6;447.88;224.24;312.61
28.12.2020;221.75;1296.05;693.29;285.82;483.77;1303.37;745.11;2253.78;448.83;225.83;312.77
24.12.2020;217.7;1277.28;687.75;287.38;481.31;1299.88;744.1;2273.06;450.45;223.92;311.3
23.12.2020;217.36;1275.4;684.98;289.2;480.95;1296.78;743.57;2253.7;447.88;222.06;309.16
22.12.2020;216.44;1274.47;682.91;283.04;473.37;1295.75;740.19;2252.06;447.53;224.2;309.77
21.12.2020;218.61;1279.1;688.75;288.06;477.98;1299.99;744.2;2259.84;450.07;222.84;310.45
18.12.2020;220.2;1289.04;696.03;293.33;472.13;1312.65;748.53;2243.06;452.71;224.62;314.42
17.12.2020;220.47;1298.63;694.52;298.33;475.85;1312.28;748.34;2226.54;450.4;228.8;317.19
16.12.2020;221.16;1292.53;690.32;300.04;474.19;1297.69;743.97;2191.24;445.16;226.06;314.92
15.12.2020;221.55;1278.83;689.49;301.23;473.62;1302.04;748.57;2182.24;446.53;226.03;318.57
14.12.2020;220;1265.54;687.93;295.55;465.81;1288.29;738.42;2187.2;438.27;222.19;312.52
