Date;KOMMUNIKATIONSDIENSTE;DISKRETIONAERE KONSUMGUETER;GRUNDBEDARFSGUETER;ENERGIE;FINANZSEKTOR;GESUNDHEITSWESEN;INDUSTRIE;TECHNOLOGIE;MATERIALIEN;IMMOBILIEN;VERSORGUNGSUNTERNEHMEN
01.03.2021;236.19;1325.34;703.6;381.18;572.1;1365.45;831.5;2274.52;500.55;249.87;322.73
01.02.2021;232.08;1294.47;649.39;360.19;535.64;1311.27;764.55;2293.4;461.11;232.26;295.35
04.01.2021;218.57;1307.64;659.25;296.52;480.98;1340.92;717.01;2269.12;444.85;228.98;316.02
01.12.2020;221.92;1302.56;696.32;286.14;490.43;1324.01;749.54;2291.28;455.71;227.9;319.07
02.11.2020;215.31;1271.42;686.37;274.42;462.45;1276.31;741.25;2168.1;445.41;225.82;317.73
01.10.2020;196.55;1172.03;639.46;216.82;396.09;1184.32;641.01;1948.66;396.87;211.46;316.92
01.09.2020;195.49;1207.69;659.14;227.49;400.28;1231.02;650.68;2054.56;400.01;218.95;301.86
03.08.2020;209.04;1253.91;671.53;266.5;415.53;1259.88;656.22;2172.2;395.69;224.57;299.46
01.07.2020;191.69;1145.81;642.01;272.09;399.06;1228.58;605.88;1942.39;379.77;224.82;309.12
01.06.2020;179.88;1051.42;601.33;287.46;385.49;1167.8;581;1840.1;354.83;216.39;286.96
01.05.2020;180.89;1002.29;605.78;291.59;387.52;1198.14;570.15;1718.49;348.38;214.27;302.05
01.04.2020;170.66;955.81;597.56;289.65;378.34;1162.03;542.35;1608.6;326.55;210.61;290.71
02.03.2020;150.35;793.11;560.33;223.4;346.02;1032.9;499.12;1414.36;283.23;192.64;281.77
03.02.2020;171.25;915.77;595.21;343.53;440.7;1075.66;618.39;1549.24;330.67;227.7;313.85
02.01.2020;182.84;992.01;648.25;405.45;497.1;1153.96;684.12;1673.91;361.99;243.62;350.08
02.12.2019;181.64;986.29;646.97;456.46;511.39;1188.2;687.6;1611.17;385.85;240.32;328.36
01.11.2019;178.24;960.79;634.09;431.37;498.96;1148.69;688.72;1542.98;375.24;238.43;318.36
01.10.2019;171.82;950.01;627.29;426.66;475.99;1095.58;661.33;1467.2;364.73;243.21;325.85
03.09.2019;167.26;947.27;629.38;437.13;465.54;1043.37;654.89;1413.36;364.66;243.6;328.49
01.08.2019;166.58;940.47;621.27;422.09;445.65;1046.74;636.24;1393.25;354.28;242.44;315.97
01.07.2019;169.18;954.09;611.23;462.47;469.45;1054.04;655.57;1417.35;365.54;231.76;301.9
03.06.2019;164.23;945.58;597.34;471.28;458.92;1072.47;651.69;1372.56;367.14;227.91;303.04
01.05.2019;157.52;878.54;569.93;432.1;430.65;1007;604.8;1258.6;329.32;225.08;293.95
01.04.2019;167.49;952.14;593.64;489.38;464.95;1033.35;657.97;1381.76;359.84;223.07;297.75
01.03.2019;157.68;901.2;580.11;489.45;427.19;1062.47;632.36;1299.16;347.27;224.36;295.15
01.02.2019;154;867.03;559.56;479.94;439.26;1058.77;640.33;1240.23;344.05;214.74;287.53
02.01.2019;152.75;861.45;547.94;470.81;429.9;1047.87;603.74;1163.16;333.98;212.98;277.67
03.12.2018;138.78;781.5;521.88;424.07;395.9;1001.18;542.16;1088.31;316.62;192.36;268.61
01.11.2018;149.86;853.59;576.42;486.42;447.08;1096.84;607.87;1189.88;341.11;208.88;280.71
01.10.2018;150.88;831.97;566.68;497.37;435.85;1026.7;587.5;1215.67;328.69;198.36;272.38
04.09.2018;160.55;938.23;554.91;560.91;458.18;1101.36;659.07;1322.07;363.12;201.86;267.28
01.08.2018;153.99;929.23;551.48;547.58;469.32;1071.38;645.72;1327.21;371.6;208.46;269.7
02.07.2018;149.6;885.15;549.6;569.16;463.85;1028.39;645.78;1243.45;374.38;203.92;268.11
01.06.2018;148.12;870.23;529.08;561.54;441.15;965.78;602.1;1218.64;363.65;201.9;263.3
01.05.2018;144.87;840.76;508.01;558.35;450.24;951.45;623.49;1223.45;363.22;194.35;256.98
02.04.2018;148.24;825.31;517.25;544.56;455.35;951.27;607.17;1141.98;356.71;190.59;261.39
01.03.2018;151.65;806.97;541.73;498.29;457.53;940.73;624.95;1141.62;356.34;192.05;256.14
01.02.2018;153.36;827.35;548.98;490.67;478.88;971.88;642.76;1188.55;372.92;185.98;247.7
02.01.2018;165;857.88;595.65;553.45;493.45;1019.08;671.32;1189.88;394.5;199.9;259.07
01.12.2017;166.07;785.33;587.39;533.41;463.94;956.32;637.81;1106.18;378.94;203.86;267.37
01.11.2017;157.01;767.82;576.07;509.28;455.61;963.64;626.69;1106.52;372.44;205.91;285.52
02.10.2017;148.26;731.97;546.55;503.07;441.16;938.35;605.29;1096.28;369.69;200.55;279.35
01.09.2017;162.37;717.47;555.39;506.72;429.08;946.31;604.38;1018.15;356.15;199.2;268.97
01.08.2017;156.85;712.13;561.81;461.61;408.45;938.28;582.01;1012.14;344.67;202.98;277.28
03.07.2017;161.84;726.6456;569.04;489.5654;416.1681;923.11;582.9907;980.4;342.0204;201.24;270.0427
01.06.2017;154.03;714.0551;566.83;477.9052;409.5917;916.93;582.9232;940.28;337.4238;199.01;263.7724
01.05.2017;158.76;723.7558;581.55;479.1917;385.2638;877.55;575.9486;966.84;332.2454;196.25;271.6882
03.04.2017;160.33;716.7304;566.54;498.9466;390.7619;872.26;569.1753;928.33;333.1738;195.37;262.1607
01.03.2017;167.68;700.239;561.79;514.0128;394.5785;859.75;559.6339;906.21;328.7302;195.41;260.2453
01.02.2017;169.77;687.2078;565.79;519.7353;406.384;864.61;563.9941;884.05;328.1277;198.4;261.6
03.01.2017;170.43;674.9148;539.51;534.3422;387.0058;814.06;545.4332;843.03;326.4899;189.99;249.8247
01.12.2016;176.61;647.8203;531.79;554.5009;386.5332;796.91;538.0661;807.95;312.1591;190.23;246.8303
01.11.2016;163.39;648.5462;516.81;544.6721;372.5448;792.13;536.3643;795.89;312.5594;183.27;235.8825
03.10.2016;157.79;620.5196;541.27;504.8894;327.7466;778.77;494.4383;800.64;293.2398;189.58;250.8287
01.09.2016;170.58;635.9608;546.54;520.3516;320.8177;833.79;504.8659;801.72;299.8661;200.81;248.7887
01.08.2016;172.21;638.631;556.26;505.4483;330.2807;839.28;506.2534;782.9;304.3758;204.53;248.4934
01.07.2016;182.67;647.8101;560.03;502.2255;318.8959;869.78;503.8297;768.74;305.2923;212.64;264.7474
01.06.2016;182.64;620.4125;564.99;512.3888;308.3852;829.45;487.5125;713.04;290.6236;206.74;266.7009
02.05.2016;167.07;628.7757;539.07;496.5411;319.3438;822.36;483.7073;733.57;293.9859;195.2;248.1564
01.04.2016;167.13;628.7649;535.63;502.4174;313.6368;806.34;487.6472;696.81;295.6218;192.65;245.7634
01.03.2016;172.55;628.4413;543.56;462.413;303.7086;783.85;483.6377;737.12;281.8121;197.16;251.9268
01.02.2016;162.38;590.1923;521.06;423.5351;283.6141;764.03;451.9167;675.63;262.457;179.04;233.9417
04.01.2016;158.12;588.7802;520.74;434.6715;292.8964;769.48;436.6231;686.16;244.5939;181.44;230.7725
01.12.2015;149.91;621.0201;518.42;448.4416;321.7279;833.23;463.5289;721.48;273.6357;190.22;220.0013
02.11.2015;147.38;640.0183;505.71;498.26;329.4777;820.04;473.9968;738.69;286.312;187.15;216.0094
01.10.2015;149.37;642.3396;512.23;502.1109;323.9721;824.99;471.1616;734.33;284.6385;188.95;222.1267
01.09.2015;141.19;589.3723;484.91;451.3322;305.3279;766.06;431.7803;663.55;250.8971;176.77;219.8232
03.08.2015;146.61;594.0695;484.29;484.2068;315.3129;813.51;440.6828;670.62;271.5851;173.69;214.28
01.07.2015;151.71;635.8098;515.2;508.0513;338.8361;884.71;467.0363;712.03;288.2427;183.62;223.2192
01.06.2015;153.47;607.2076;489.27;551.107;328.943;861.19;466.3728;691.8;303.5199;174.21;210.5647
